eop_scientificname_verbatim,scientificname_verbatim,type_locality,habitat,notes
Parasmittina trispinosa,Parasmittina trispinosa,,,
Parastenella sp.,Parastenella,,,
Parasterope sp.,Parasterope,,,
Apostichopus californicus,Apostichopus californicus,,,
Apostichopus leukothele,Apostichopus leukothele,,,
Paratomella unichaeta,Paratomella unichaeta,,,
Paraturbanella intermedia,Paraturbanella intermedia,,,
Pardalisca cuspidata,Pardalisca cuspidata,,,
Pardalisca tenuipes,Pardalisca tenuipes,,,
Mycale psila,Mycale psila,,,
Parotoplana pacifica,Parotoplana pacifica,,,
Cyclopecten alaskensis,Cyclopecten alaskensis,,deep,not in Koz! Could be his C argenteus which was not in eops
Pasiphaea pacifica,Pasiphaea pacifica,,,
Pasiphaea tarda,Pasiphaea tarda,,,
Patinopecten caurinus,Patinopecten caurinus,,,
Peachia quinquecapitata,Peachia quinquecapitata,,,
Pectinaria californiensis,Pectinaria californiensis,,,
Pectinaria granulata,Pectinaria granulata,,,
Amphictene moorei,Amphictene moorei,,,
Pectinaster agassizi subsp. evoplus,Pectinaster agassizi evoplus,,deep,
Pedicellaster magister ,Pedicellaster magister ,,,
Pedicellina cernua,Pedicellina cernua,,,
Pholoides aspera,Pholoides aspera,,,
Pelagonemertes brinkmanni,Pelagonemertes brinkmanni,,,
Pelagonemertes joubini,Pelagonemertes joubini,,,
Pelonaia corrugata,Pelonaia corrugata,,,intro to BC from Japan
Peltogaster boschmae,Peltogaster boschmai,,,misspelled in Koz
Peltogaster paguri,Peltogaster paguri,,,
Peltogasterella gracilis,Peltogasterella gracilis,,,
Penares cortius,Penares cortius,,,
Penetrantia sp.,Penetrantia,,,
Peniagone gracilis,Peniagone gracilis,,deep,
Peniagone sp.,Peniagone,,deep,
Penitella conradi,Penitella conradi,,,
Penitella gabbii,Penitella gabbii,,,
Penitella penita,Penitella penita,,,
Penitella turnerae,Penitella turnerae,,,
Pennatula phosphorea,Pennatula phosphorea,,,
Pentamera lissoplaca,Pentamera lissoplaca,,,
Pentamera populifera,Pentamera populifera,,,
Pentamera pseudocalcigera,Pentamera pseudocalcigera,,,
Pentamera trachyplaca,Pentamera trachyplaca,,,
Pentamera spp.,Pentamera,,,
Pentametrocrinus sp.,Pentametrocrinus,,deep,
Peramphithoe humeralis,Peramphithoe humeralis,,,
Peramphithoe lindbergi,Peramphithoe lindbergi,,,
Peramphithoe mea,Peramphithoe mea,,,
Peramphithoe plea,Peramphithoe plea,,,
Peramphithoe tea,Peramphithoe tea,,,
Peribolaster biserialis,Peribolaster biserialis,,deep,
Leuckartiara octona,Leuckartiara octona,,,
Perigonimus spp.,Perigonimus,,,
Perinereis monterea,Perinereis monterea,,,
Perophora annectens,Perophora annectens,,,
Perotripus brevis,Perotripus brevis,,,
Petalidium subspinosum,Petalidium subspinosum,,,
Petaloconchus compactus,Petaloconchus compactus,,,
Petaloproctus borealis,Petaloproctus borealis,,,
Petaloproctus tenuis subsp. tenuis,Petaloproctus tenuis tenuis,,,
Petricola carditoides,Petricola carditoides,,,
Petricola pholadiformis,Petricola pholadiformis,,,
Petrolisthes cinctipes,Petrolisthes cinctipes,,,
Petrolisthes eriomerus,Petrolisthes eriomerus,,,
Pettiboneia pugettensis,Pettiboneia pugettensis,,,
Phacellophora camtschatica,Phacellophora camtschatica,,,
Echinoclathria beringensis,Echinoclathria beringensis,,,
Pectinodrilus tempestatis,Pectinodrilus tempestatis,,,
Phascolosoma agassizii,Phascolosoma agassizii,,,
Pherusa inflata,Pherusa inflata,,,
Pherusa negligens,Pherusa negligens,,,
Pherusa plumosa,Pherusa plumosa,,,
Clytia gregaria,Clytia gregaria,,,
Phialidium lomae,Phialidium lomae,,,
Phidolopora labiata,Phidolopora labiata,,,
Philine bakeri,Philine bakeri,,,
Philobrya setosa,Philobrya setosa,,,
Philomedes dentata,Philomedes dentata,,,
Philosyrtis sanjuanensis,Philosyrtis sanjuanensis,,,
Pholoe minuta,Pholoe minuta,,,
Phoronis ovalis,Phoronis ovalis,,,
Phoronis pallida,Phoronis pallida,,,
Phoronis vancouverensis,Phoronis vancouverensis,,,
Phoronopsis harmeri,Phoronopsis harmeri,,,
Photis,Photis,,,
Photis bifurcata,Photis bifurcata,,,
Photis brevipes,Photis brevipes,,,
Photis conchicola,Photis conchicola,,,
Photis conchicola-oligochaeta,Photis conchicola,,,
Photis lacia,Photis lacia,,,
Photis macinerneyi,Photis macinerneyi,,,
Photis oligochaeta,Photis oligochaeta,,,
Photis pachydactyla,Photis pachydactyla,,,
Photis parvidons,Photis parvidons,,,
Phoxichilidium femoratum,Phoxichilidium femoratum,,,
Phoxocephalus homilis,Phoxocephalus homilis,,,"not in WoRMS, is in ITIS"
Phronima sedentaria,Phronima sedentaria,,,
Phyllaplysia taylori,Phyllaplysia taylori,,,
Phyllochaetopterus claparedii,Phyllochaetopterus claparedii,,,
Phyllochaetopterus prolifica,Phyllochaetopterus prolifica,,,
Phyllodoce castanea,Phyllodoce castanea,,,
Phyllodoce citrina,Phyllodoce citrina,,,
Phyllodoce groenlandica,Phyllodoce groenlandica,,,
Phyllodoce maculata,Phyllodoce maculata,,,
Phyllodoce madeirensis,Phyllodoce madeirensis,,,
Phyllodoce medipapillata,Phyllodoce medipapillata,,,
Phyllodoce mucosa,Phyllodoce mucosa,,,
Phyllodoce multiseriata,Phyllodoce multiseriata,,,
Phyllodoce polynoides,Phyllodoce polynoides,,,
Phyllodoce williamsi,Phyllodoce williamsi,,,
Phyllodurus abdominalis,Phyllodurus abdominalis,,,
Phyllolithodes papillosus,Phyllolithodes papillosus,,,
Phylloplana viridis,Phylloplana viridis,,,
Physophora hydrostatica,Physophora hydrostatica,,,
Phytia myosotis,Phytia myosotis,,,
Pilargis berkeleyae,Pilargis berkeleyae,,,
Pileolaria potswaldi,Pileolaria potswaldi,,,
Pileolaria quadrangularis,Pileolaria quadrangularis,,,
Pileolaria similis,Pileolaria similis,,,
Pinnixa eburna,Pinnixa eburna,,,
Pinnixa faba,Pinnixa faba,,,
Pinnixa littoralis,Pinnixa littoralis,,,
Pinnixa occidentalis,Pinnixa occidentalis,,,
Pinnixa schmitti,Pinnixa schmitti,,,
Pinnixa tubicola,Pinnixa tubicola,,,
Pinnotheres pugettensis,Pinnotheres pugettensis,,,
Pinnotheres taylori,Pinnotheres taylori,,,
Pionosyllis gigantea,Pionosyllis gigantea,,,
Pionosyllis uraga,Pionosyllis uraga,,,
Piromis eruca,Piromis eruca,,,
Pisaster brevispinus,Pisaster brevispinus,,,
Pisaster ochraceus,Pisaster ochraceus,,,
Piscicola sp.,Piscicola,,,
Pista brevibranchiata,Pista brevibranchiata,,,
Pista cristata,Pista cristata,,,check Pista wui = probably
Pista elongata,Pista elongata,,,
Pista moorei,Pista moorei,,,
Pista pacifica,Pista pacifica,,,
Placetron wosnessenskii,Placetron wosnessenskii,,,
Placida dendritica,Placida dendritica,,,
Placiphorella rufa,Placiphorella rufa,,,
Placiphorella velata,Placiphorella velata,,,
Plagioecia patina,Plagioecia patina,,,
Plakina brachylopha,Plakina brachylopha,,,
Plakina trilopha,Plakina trilopha,,,
Plakina sp.,Plakina,,,
Planes major,Planes major,,,
Planes marinus,Planes marinus,,,
Platorchestia,Platorchestia,,,
Platorchestia chathamensis,Platorchestia chathamensis,,,
Platycyamus sp.,Platycyamus,,,
Platynereis bicanaliculata,Platynereis bicanaliculata,,,
Platyodon cancellatus,Platyodon cancellatus,,,
Platyodon scaber,Platyodon scaber,,,
Pleopis polyphemoides,Pleopis polyphemoides,,,
Pleurobrachia bachei,Pleurobrachia bachei,,,
Pleurogonium rubicundum,Pleurogonium rubicundum,,,
Pleusirus secorrus,Pleusirus secorrus,,,
Pleustes depressa,Thorlaksonius depressus,,,
Pleusymtes sp.,Pleusymtes,,,
Pleusymtes subglaber,Pleusymtes subglaber,,,
Plicifusus griseus,Colus griseus,,,
Antho karykina,Antho karykina,,,
Antho illgi,Antho illgi,,,
Plocamilla lambei,Antho lambei,,,
Ploima,Ploima,,,
Plotocnide borealis,Plotocnide borealis,,,
Plotohelmis tenuis,Plotohelmis tenuis,,,
Plotonemertes adhaerens ,Plotonemertes adhaerens ,,,
Plumularia lagenifera,Plumularia lagenifera,,,
Plumularia setacea,Plumularia setacea,,,
Plumularia spp.,Plumularia,,,
Pluribursaeplana illgi,Pluribursaeplana illgi,,,
Pneumoderma violaceum,Pneumoderma violaceum,,,
Pneumodermopsis macrochira,Pneumodermopsis macrochira,,,
Podarkeopsis brevipalpa,Podarkeopsis brevipalpa,,,
Podoceropsis barnardi,Podoceropsis barnardi,,,
Podoceropsis chionoecetophila,Podoceropsis chionoecetophila,,,
Podoceropsis cristatus,Podoceropsis cristatus,,,not in Koz!
Pododesmus macrochisma,Pododesmus macrochisma,,,
Podon leuckarti,Podon leuckarti,,,
Artemisina stipitata,Artemisina stipitata,,,
Poecillastra rickettsi,Poecillastra rickettsi,,,
Policordia alaskana,Policordia alaskana,,deep,
Polinices draconis,Polinices draconis,,,
Euspira lewisii,Euspira lewisii,,,
Neverita politiana,Neverita politiana,,,
Polybrachia canadensis ,Polybrachia canadensis ,,,
Polycera tricolor,Polycera tricolor,,,
Polycheria ,Polycheria ,,,
Polycheria osborni,Polycheria osborni,,,
Polycirrus californicus,Polycirrus californicus,,,
Polycystis hamata,Polycystis hamata,,,
Polydora alloporis,Polydora alloporis,,,
Polydora armata,Polydora armata,,,
Polydora brachycephala,Polydora brachycephala,,,
Dipolydora cardalia,Dipolydora cardalia,,,
Boccardia columbiana,Boccardia columbiana,,,
Dipolydora commensalis,Dipolydora commensalis,,,
Polydora giardi,Polydora giardi,,,
Boccardia hamata,Boccardia hamata,,,
Polydora kempi subsp. japonica,Polydora kempi japonica,,,
Polydora ligni,Polydora ligni,,,
Polydora limicola,Polydora limicola,,,
Boccardia polybranchia,Boccardia polybranchia,,,
Boccardia proboscidea,Boccardia proboscidea,,,
Boccardia pugettensis,Boccardia pugettensis,,,
Polydora pygidialis,Polydora pygidialis,,,
Dipolydora quadrilobata,Dipolydora quadrilobata,,,
Polydora plena,Polydora plena,,,
Polydora spongicola,Polydora spongicola,,,
Polydora websteri,Polydora websteri,,,
Polyeunoa tuta,Polyeunoa tuta,,,
Polygordius,Polygordius,,,
Polymastia pachymastia,Polymastia pachymastia,,,
Polymastia pacifica,Polymastia pacifica,,,
Polynoe canadensis,Polynoe canadensis,,,
Polynoe gracilis,Polynoe gracilis,,,
Polyorchis penicillatus,Polyorchis penicillatus,,,
Polyrhabdoplana posttestis,Polyrhabdoplana posttestis,,,
Pontocypris clemensi,Pontocypris clemensi,,,
Pontogeneia ivanovi,Pontogeneia ivanovi,,,
Pontogeneia rostrata,Pontogeneia rostrata,,,
Pontogeneia inermis,Pontogeneia inermis,,,
Pontogeneia intermedia,Pontogeneia intermedia,,,
Poraniopsis inflata,Poraniopsis inflata,,deep,
Porcellio scaber,Porcellio scaber,,,
Porella columbiana,Porella columbiana,,,
Porella concinna,Porella concinna,,,
Porella porifera,Porella porifera,,,
Poromya beringiana,Poromya beringiana,,deep,
Poromya canadensis,Poromya canadensis,,deep,
Poromya leonina,Poromya leonina,,deep,
Poromya malespinae,Poromya malespinae,,deep,
Poromya tenuiconcha,Poromya tenuiconcha,,deep,
Portlandia dalli,Portlandia dalli,,deep,
Portunion conformis,Portunion conformis,,,
Pseudopotamilla intermedia,Pseudopotamilla intermedia,,,
Pseudopotamilla myriops,Pseudopotamilla myriops,,,
Potamilla neglecta,Potamilla neglecta,,,
Pseudopotamilla occelata,Pseudopotamilla occelata,,,
Pourtalesia tanneri,Pourtalesia tanneri,,deep,
Pourtalesia thomsoni,Pourtalesia thomsoni,,deep,
Prachynella lodo,Prachynella lodo,,,
Praxillella affinis subsp. affinis,Praxillella affinis affinis,,,
Praxillella affinis subsp. pacifica,Praxillella affinis pacifica,,,
Praxillella gracilis,Praxillella gracilis,,,
Praxillella praetermissa,Praxillella praetermissa,,,
Praxillura maculata,Praxillura maculata,,,
Praya dubia,Praya dubia,,,
Praya reticulata,Praya reticulata,,,
Neopetrosia problematica,Neopetrosia problematica,,,
Priapulus caudatus,Priapulus caudatus,,,
Primnoa willeyi,Primnoa willeyi,,,
Prionospio multibranchiata,Prionospio multibranchiata,,,
Prionospio steenstrupi,Prionospio steenstrupi,,,
Prionospio sp.,Prionospio,,,
Proales spp.,Proales,,,
Proboloides sp.,Proboloides,,,
Proboscidactyla flavicirrata,Proboscidactyla flavicirrata,,,
Proboscina incrassata,Proboscina incrassata,,,
Proboscinotus loquax,Proboscinotus loquax,,,
Procerodes pacifica,Procerodes pacifica,,,
Proclea graffii,Proclea graffii,,,
Promesostoma hymanae,Promesostoma hymanae,,,
Promesostoma infundibulum,Promesostoma infundibulum,,,
Proneomysis wailesi,Proneomysis wailesi,,,
Propeamussium malpelonium,Propeamussium malpelonium,,deep,
Prophryxus alascensis,Prophryxus alascensis,,,
Prosorhochmus spp.,Prosorhochmus,,,
Prosuberites sp.,Prosuberites,,,
Rynkatorpa duodactyla,Rynkatorpa duodactyla,,deep,diff genus in eop
Protankyra pacifica,Protankyra brychia,,deep,
Protoariciella oligobranchia,Protoariciella oligobranchia,,,
Protodorvillea gracilis,Protodorvillea gracilis,,,
Protodriloides chaetifer,Protodriloides chaetifer,,,
Protodrilus flabelliger,Protodrilus flabelliger,,,
Protohydra leuckarti,Protohydra leuckarti,,,
Protolaeospira capensis,Protolaeospira capensis,,,
Protolaeospira eximia,Protolaeospira eximia,,,
Protomedeia articulata,Protomedeia articulata,,,
Protomedeia grandimana,Protomedeia grandimana,,,
Protomedeia penates,Protomedeia penates,,,
Protomedeia prudens,Protomedeia prudens,,,
Protothaca staminea,Protothaca staminea,,,
Protothaca tenerrima,Protothaca tenerrima,,,
Protula pacifica,Protula pacifica,,,
Psammonyx longimerus,Psammonyx longimerus,,,
Psathrometra fragilis,Psathyrometra fragilis,,deep,"misspelling in spreadsheet, correct spelling in Koz"
Nutricola lordi,Nutricola lordi,,,
Psephidia ovalis,Psephidia ovalis,,,
Pseudanthessius latus,Pseudanthessius latus,,,
Pseudarchaster dissonus,Pseudarchaster dissonus,,deep,
Pseudarchaster parelii,Pseudarchaster parelii,,deep,
Ptilocaulis walpersi,Ptilocaulis walpersi,,,
Pseudevadne tergestina,Pseudevadne tergestina,,,
Pseudione galacanthae,Pseudione galacanthae,,,
Pseudione giardi,Pseudione giardi,,,
Pseudoceros canadensis,Pseudoceros canadensis,,,
Pseudochama exogyra,Pseudochama exogyra,,,
Pseudochitinopoma occidentalis,Pseudochitinopoma occidentalis,,,
Pseudoliropus vanus,Pseudoliropus vanus,,,
Pseudolubbockia,Pseudolubbockia,,,
Pseudomma berkeleyi,Pseudomma berkeleyi,,,
Pseudopythina compressa,Pseudopythina compressa,,,
Pseudopythina rugifera,Pseudopythina rugifera,,,
Pseudostichopus mollis,Pseudostichopus mollis,,deep,
Pseudostichopus nudus,Pseudostichopus nudus,,deep,
Molpadiodemas villosus,Molpadiodemas villosus,,deep,eop diff genus
Pseudostylochus burchami,Pseudostylochus burchami,,,
Pseudostylochus ostreophagus,Pseudostylochus ostreophagus,,,
Pseudosuberites spp.,Pseudosuberites,,,
Pseudotanais oculatus,Pseudotanais oculatus,,,
Psilaster pectinatus,Psilaster pectinatus,,deep,
Psolidium bullatum,Psolidium bidiscum,,,see my notes
Psolus chitinoides,Psolus chitinoides,,,
Psolus squamatus,Psolus squamatus,,,
Psychropotes longicaudata,Psychropotes longicaudata,,deep,
Psychropotes longicauda,Psychropotes raripes,,deep,Psychropotes longicauda was on eop
Pteraster jordani,Pteraster jordani,,deep,
Pteraster militaris,Pteraster militaris,,deep,
Pteraster tesselatus,Pteraster tesselatus,,,
Pterotrachea coronata,Pterotrachea coronata,,,
Pterotrachea hippocampus,Pterotrachea hippocampus,,,
Pterotrachea minuta,Pterotrachea minuta,,,
Pterotrachea scutata,Pterotrachea scutata,,,
Ptilocrinus pinnatus,Ptilocrinus pinnatus,,deep,
Ptilosarcus gurneyi,Ptilosarcus gurneyi,,,
Ptychogastria polaris,Ptychogastria polaris,,,
Ptychogena ,Ptychogena ,,,
Ptychogena lactea,Ptychogena lactea,,,
Puellina setosa,Puellina setosa,,,
Pugettia gracilis,Pugettia gracilis,,,
Pugettia producta,Pugettia producta,,,
Pugettia richii,Pugettia richii,,,
Pulsellum salishorum,Pulsellum salishorum,,,
Puncturella cooperi,Puncturella cooperi,,,
Puncturella cucullata,Puncturella cucullata,,,
Puncturella decorata,Puncturella decorata,,,
Puncturella expansa,Puncturella expansa,,deep,
Puncturella galeata,Puncturella galeata,,,
Puncturella multistriata,Puncturella multistriata,,,
Puncturella rothi,Puncturella rothi,,deep,
Pycnoclavella stanleyi,Pycnoclavella stanleyi,,,
Pycnogonum rickettsi,Pycnogonum rickettsi,,,
Pycnogonum stearnsi,Pycnogonum stearnsi,,,
Pycnophyes sanjuanensis,Pycnophyes sanjuanensis,,,
Pycnopodia helianthoides,Pycnopodia helianthoides,,,
Pygospio elegans,Pygospio elegans,,,
Pyura haustor,Pyura haustor,,,
Pyura mirabilis,Pyura mirabilis,,,
Pyura spp.,Pyura,,,
Questa caudicirra,Questa caudicirra,,,
Radiceps sp.,Radicipes,,,"misspelling in Koz, genus match like this in same family"
Ramellogammarus ramellus,Ramellogammarus ramellus,,,
Ramellogammarus vancouverensis,Ramellogammarus vancouverensis,,,
Raphidophallus actuosus,Raphidophallus actuosus,,,
Rathbunaster californicus,Rathbunaster californicus,,deep,
Rathkea octopunctata,Rathkea octopunctata,,,
Reginella furcata,Reginella furcata,,,
Reginella nitida,Reginella nitida,,,
Haliclona mollis,Haliclona mollis,,,
Retiometra alascana,Retiometra alascana,,deep,
Acanthascus dawsoni,Acanthascus dawsoni,,,
Rhachotropis clemens,Rhachotropis clemens,,,
Rhachotropis oculata,Rhachotropis oculata,,,
Rhamphidonta retifera,Rhamphidonta retifera,,,
Rhamphostomella cellata,Rhamphostomella cellata,,,
Rhamphostomella costata,Rhamphostomella costata,,,
Rhamphostomella curvirostrata,Rhamphostomella curvirostrata,,,
Rhepoxynius abronius,Rhepoxynius abronius,,,
Rhepoxynius bicuspidatus,Rhepoxynius bicuspidatus,,,
Rhepoxynius daboius,Rhepoxynius daboius,,,
Rhepoxynius heterocuspidatus,Rhepoxynius heterocuspidatus,,,
Rhepoxynius tridentatus,Rhepoxynius tridentatus,,,
Rhepoxynius variatus,Rhepoxynius variatus,,,
Rhepoxynius vigitegus,Rhepoxynius vigitegus,,,
Rhinolithodes wosnessenskii,Rhinolithodes wosnessenskii,,,
Rhizocaulus verticillatus,Rhizocaulus verticillatus,,,
Rhizodrilus pacificus,Rhizodrilus pacificus,,,
Rhizogeton sp.,Rhizogeton,,,
Rhodine bitorquata,Rhodine bitorquata,,,
Rhopalura ophiocomae,Rhopalura ophiocomae,,,
Rhynchonereella angelinia,Rhynchonereella angelinia,,,
Rhynchonerella gracilis,Rhynchonerella gracilis,,,
Rhynchozoon tumulosum,Rhynchozoon tumulosum,,,
Rhynocrangon alata,Rhynocrangon alata,,,
Rhysia sp.,Rhysia,,,
Rictaxis punctocaelatus,Rictaxis punctocaelatus,,,
Ridgeia phaeophiale,Ridgeia phaeophiale,,,
Ridgeia piscesae,Ridgeia piscesae,,,
Rissoina newcombiana,Rissoina newcombiana,,,"check Koz, no matches"
Ritterella aequalisiphonis,Ritterella aequalisiphonis,,,
Ritterella pulchra,Ritterella pulchra,,,
Ritterella rubra,Ritterella rubra,,,
Rocinela angustata,Rocinela angustata,,,
Rocinela belliceps,Rocinela belliceps,,,
Rocinela propodialis,Rocinela propodialis,,,
Rocinela tridens,Rocinela tridens,,,
Ceratophysa rosea,Ceratophysa rosea,,deep,eop with different genus
Rossia pacifica,Rossia pacifica,,,
Rostanga pulchra,Rostanga pulchra,,,
Roya spongotheres,Roya spongotheres,,,"check Koz, no matches"
Rutiderma rostratum,Rutiderma rostratum,,,
Bispira crassicornis,Bispira crassicornis,,,
Parasabella media,Parasabella media,,,
Dodecaceria fewkesi,Dodecaceria fewkesi,,,
Sabellacheres,Sabellacheres,,,
Neosabellaria cementarium,Neosabellaria cementarium,,,
Sabellastarte sp.,Sabellastarte,,,
Sabia conica,Sabia conica,,,
Sabinella ptilocrinicola,Sabinella ptilocrinicola,,,
Saccocirrus eroticus,Saccocirrus eroticus,,,
Saccocirrus sonomacus,Saccocirrus sonomacus,,,
Saccoglossus sp.,Saccoglossus,,,
Saduria entomon,Saduria entomon,,,
Sagitella kowalewskii,Sagitella kowalewskii,,,
Sagitta blerii,Sagitta bierii,,,
Mesosagattia decipiens,Mesosagattia decipiens,,,eop diff genus
Parasagitta elegans,Parasagitta elegans,,,eop diff genus
Parasagitta friderici,Parasagitta friderici,,,eop diff genus
Pseudosagitta maxima,Pseudosagitta maxima,,,eop diff genus
Mesosagitta minima,Mesosagitta minima,,,eop diff genus
Sagitta scrippsae,Sagitta scrippsae,,,
Sahnia sp.,Sahnia,,,
Salmacina tribranchiata,Salmacina tribranchiata,,,
Samytha californiensis,Samytha californiensis,,,
Sarcodictyon sp. ,Sarcodictyon ,,,
Sarcoptiformes ,Sarcoptiformes ,,,
Coryne eximia,Coryne eximia,,,
Euphysa japonica ,Euphysa japonica ,,,
Sarsia princeps,Sarsia princeps,,,
Sarsia tubulosa,Sarsia tubulosa,,,
Sarsia viridis,Sarsia viridis,,,
Sarsia spp.,Sarsia,,,
Sarsiella sp. ,Sarsiella ,,,
Onuphis parva,Onuphis parva,,,
Saturnia brunnea,Neilonella brunnea,,deep,
Saturnia cervola,Neilonella atossa,,deep,syn of Tindaria cervola
Saturnia kennerlyi,Tindaria kennerlyi,,deep,
Saxidomus giganteus,Saxidomus giganteus,,,
Scalibregma inflatum,Scalibregma inflatum,,,
Hamatoscalpellum columbianum,Hamatoscalpellum columbianum,,,
Schistocomus hiltoni,Phyllocomus hiltoni,,,
Schistomeringos annulata,Schistomeringos annulata,,,
Schistomeringos caeca,Schistomeringos caeca,,,
Schistomeringos japonica,Schistomeringos japonica,,,
Schistomeringos moniloceras,Schistomeringos moniloceras,,,
Schistomeringos pseudorubrovittata,Schistomeringos pseudorubrovittata,,,
Schistomeringos rudolphi,Schistomeringos rudolphi,,,
Schisturella cocula,Schisturella cocula,,,
Schizobranchia insignis,Schizobranchia insignis,,,
Schizomavella auriculata,Schizomavella auriculata,,,
Schizoplax brandtii,Schizoplax brandtii,,,
Schizoporella linearis subsp. inarmata,Schizoporella linearis inarmata,,,
Schizoporella unicornis,Schizoporella unicornis,,,
Scintillona bellerophon,Scintillona bellerophon,,,
Pista estevanica,Pista estevanica,,,
Scionella japonica,Scionella japonica,,,
Scleroconcha trituberculata,Scleroconcha trituberculata,,,
Sclerocrangon boreas,Sclerocrangon boreas,,,
Scleroplax granulata,Scleroplax granulata,,,
Scleroptilum sp.,Scleroptilum,,,
Scolelepis foliosa,Scolelepis foliosa,,,
Scolelepis squamata,Scolelepis squamata,,,
Scoloplos ameceps,Scoloplos acmeceps,,,
Scoloplos armiger,Scoloplos armiger,,,
Scotoplanes clarki,Scotoplanes clarki,,deep,
Scotoplanes globosa,Scotoplanes globosa,,deep,
Scrupocellaria californica,Scrupocellaria californica,,,
Sycon compactum,Sycon compactum,,,
Scypha mundula,Scypha mundula,,,
Sycon protectum,Sycon protectum,,,
Scypha spp.,Scypha,,,
Scyra acutifrons,Scyra acutifrons,,,
Lirabuccinum dirum,Lirabuccinum dirum,,,
Seguenzia cervola ,Seguenzia cervola ,,,
Seguenzia megaloconcha,Seguenzia megaloconcha,,,
Seguenzia quinni,Seguenzia quinni,,,
Seguenzia stephanica,Seguenzia stephanica,,,
Seison sp.,Seison,,,
Semele rubropicta,Semele rubropicta,,,
Semibalanus balanoides,Semibalanus balanoides,,,
Semibalanus cariosus,Semibalanus cariosus,,,
Sergia tenuiremis,Sergia tenuiremis,,,
Serpula vermicularis,Serpula vermicularis,,,=S columbiana now?
Serripes groenlandicus,Serripes groenlandicus,,,
Sertularella tenella,Sertularella tenella,,,
Sertularella tricuspidata,Sertularella tricuspidata,,,
Sertularia mirabilis,Sertularia mirabilis,,,
Sertularia robusta,Sertularia robusta,,,
Sertularia spp.,Sertularia,,,
Siboglinum fedotovi,Siboglinum fedotovi,,,
Siboglinum pusillum,Siboglinum pusillum,,,
Sigambra tentaculata,Sigambra tentaculata,,,
Xestospongia edapha,Xestospongia edapha,,,
Sigmadocia spp.,Sigmadocia,,,
Siliqua lucida,Siliqua lucida,,,
Siliqua patula,Siliqua patula,,,
Siliqua sloati,Siliqua sloati,,,
Sinistrella abnormis,Sinistrella abnormis,,,
Spirorbis medius,Spirorbis medius,,,
Sinistrella verruca,Sinistrella verruca,,,
Siphonaria thersites,Siphonaria thersites,,,
Smittina cordata,Smittina cordata,,,
Smittina landsborovii,Smittina landsborovii,,,
Solariella nuda,Solariella nuda,,deep,
Solariella obscura,Solariella obscura,,,
Solariella peramabilis,Solariella peramabilis,,,
Solariella vancouverensis,Solariella vancouverensis,,,
Solaster dawsoni,Solaster dawsoni,,,
Solaster endeca,Solaster endeca,,,
Solaster paxillatus,Solaster paxillatus,,,
Solaster stimpsoni,Solaster stimpsoni,,,
Solemya reidi,Solemya reidi,,,
Solen sicarius,Solen sicarius,,,
Solenosmilia variabilis,Solenosmilia variabilis,,,
Solidobalanus engbergi,Balanus engbergi,,,"currently Solidobalanus, but as Balanus in WoRMS"
Hesperibalanus hesperius,Hesperibalanus hesperius,,,
Solmissus incisa,Solmissus incisa,,,
Solmissus marshalli,Solmissus marshalli,,,
Sosaniopsis hesslei,Sosanopsis hesslei,,,misspelled in Koz
Specaria fraseri,Specaria fraseri,Fraser River from Hope to sea,,"not in WoRMS, is in ITIS"
Sperosoma biseriatum,Sperosoma biseriatum,,deep,
Sperosoma giganteum,Sperosoma giganteum,,deep,
Sphaerodoropsis biserialis,Sphaerodoropsis biserialis,,,
Sphaerodoropsis minuta,Sphaerodoropsis minuta,,,
Sphaerodoropsis sphaerulifer,Sphaerodoropsis sphaerulifer,,,
Sphaerodorum papillifer,Sphaerodorum papillifer,,,
Sphaeronectes gracilis,Sphaeronectes gracilis,,,
Prosphaerosyllis brandhorsti,Prosphaerosyllis brandhorsti,,,
Sphaerosyllis hystrix,Sphaerosyllis hystrix,,,
Sphaerosyllis pirifera,Sphaerosyllis pirifera,,,
Ypsilothuria bitentaculata,Ypsilothuria bitentaculata,,deep,
Sphenia ovoidea,Sphenia ovoidea,,,
Spio butleri,Spio butleri,,,
Spio cirrifera,Spio cirrifera,,,
Spio filicornis,Spio filicornis,,,
Spio sp.,Spio,,,
Spiochaetopterus costarum,Spiochaetopterus costarum,,,
Spiophanes berkeleyorum,Spiophanes berkeleyorum,,,
Spiophanes bombyx,Spiophanes bombyx,,,
Spiophanes kroyeri,Spiophanes kroyeri,,,
Spiromoelleria quadrae,Spiromoelleria quadrae,,,
Spirontocaris arcuata,Spirontocaris arcuata,,,
Spirontocaris holmesi,Spirontocaris holmesi,,,
Spirontocaris lamellicornis,Spirontocaris lamellicornis,,,
Spirontocaris ochotensis,Spirontocaris ochotensis,,,
Spirontocaris prionota,Spirontocaris prionota,,,
Spirontocaris sica,Spirontocaris sica,,,
Spirontocaris spina,Spirontocaris spina,,,
Spirontocaris synderi,Spirontocaris synderi,,,
Spirontocaris truncata,Spirontocaris truncata,,,
Spisula falcata,Simomactra falcata,,,
Acanthascus dowlingi,Acanthascus dowlingi,,,
Cuspidella mertensi,Cuspidella mertensi,,,
Stegopoma spp.,Stegopoma,,,
Stelletta clarella ,Stelletta clarella ,,,
Monanchora alaskensis,Monanchora alaskensis,,,
Ectyonopsis hartmani,Ectyonopsis hartmani,,,
